Index	Token	Language
337	I	Eng
338	love	Eng
339	the	Eng
340	soup	Eng
341	noodles	Eng
342	.	Eng
343	When	Eng
344	do	Eng
345	you	Eng
346	have	Eng
347	the	Eng
348	raspberry	Eng
349	muffins	Eng
350	?	Eng
351	Tomatoes	Eng
352	,	Eng
353	ok	Eng
354	?	Eng
355	Hmm	Eng
356	.	Eng
357	From	Eng
358	the	Eng
359	refrigerator	Eng
360	?	Eng
361	They	Eng
362	are	Eng
363	right	Eng
364	here	Eng
365	.	Eng
366	What	Eng
367	?	Eng
368	Oh	Eng
369	,	Eng
370	there	Eng
371	it	Eng
372	is	Eng
373	.	Eng
374	So	Eng
375	,	Eng
376	they	Eng
377	are	Eng
378	gonna	Eng
379	bury	Eng
380	him	Eng
381	today	Eng
382	?	Eng
383	Yeah	Eng
384	,	Eng
385	this	Eng
386	morning	Eng
387	.	Eng
388	At	Eng
389	ten	Eng
390	o'clock	Eng
391	.	Eng
392	En	Span
393	d�nde	Span
394	?	Span
395	En	Span
396	Mont	Eng
397	Carmel	Eng
398	.	Eng
399	Oh	Eng
400	,	Eng
401	I	Eng
402	love	Eng
403	that	Eng
404	cemetery	Eng
405	.	Eng
406	Pero	Span
407	,	Span
408	que	Span
409	ta	Span
410	muy	Span
411	lejos	Span
412	para	Span
413	ir	Span
414	a	Span
415	misa	Span
416	.	Span
417	You	Eng
418	know	Eng
419	another	Eng
420	hour	Eng
421	then	Eng
422	another	Eng
423	hour	Eng
424	at	Eng
425	two	Eng
426	to	Eng
427	the	Eng
428	funeral	Eng
429	and	Eng
430	?	Eng
431	<UNK>	Eng
432	tomatoes	Eng
433	.	Eng
434	Hmm	Eng
435	?	Eng
436	So	Eng
437	,	Eng
438	I	Eng
439	did	Eng
440	not	Eng
441	make	Eng
442	it	Eng
443	to	Eng
444	the	Eng
445	?	Eng
446	to	Eng
447	the	Eng
448	funeral	Eng
449	.	Eng
450	They	Eng
451	were	Eng
452	um	Eng
453	,	Eng
454	they	Eng
455	were	Eng
456	taking	Eng
457	up	Eng
458	a	Eng
459	collection	Eng
460	.	Eng
461	For	Eng
462	what	Eng
463	?	Eng
464	For	Eng
465	the	Eng
466	family	Eng
467	,	Eng
468	a	Span
469	m�	Span
470	se	Span
471	me	Span
472	hace	Span
473	que	Span
474	,	Span
475	How	Eng
476	sad	Eng
477	.	Eng
478	A	Span
479	m�	Span
480	se	Span
481	me	Span
482	hace	Span
483	que	Span
484	qued�	Span
485	muy	Span
486	endrogada	Span
487	.	Span
488	Por	Span
489	qu�	Span
490	?	Span
491	C�mo	Span
492	?	Span
493	Cu�nto	Span
494	dur�	Span
495	en	Span
496	el	Span
497	hospital	Span
498	?	Span
499	Casi	Span
500	el	Span
501	mes	Span
502	.	Span
503	En	Span
504	intensive	Eng
505	care	Eng
506	,	Eng
507	eh	Eng
508	.	Eng
509	Oh	Eng
510	.	Eng
511	that	Eng
512	is	Eng
513	gonna	Eng
514	be	Eng
515	.	Eng
516	She	Eng
517	is	Eng
518	gonna	Eng
519	have	Eng
520	to	Eng
521	<UNK>	Eng
522	the	Eng
523	house	Eng
524	.	Eng
525	Yeah	Eng
526	.	Eng
527	So	Eng
528	,	Eng
529	um	Eng
530	,	Eng
531	I	Eng
532	do	Eng
533	not	Eng
534	know	Eng
535	,	Eng
536	I	Eng
537	kind	Eng
538	of	Eng
539	get	Eng
540	the	Eng
541	feeling	Eng
542	?	Eng
543	Did	Eng
544	he	Eng
545	have	Eng
546	insurance	Eng
547	?	Eng
548	I	Eng
549	have	Eng
550	a	Eng
551	feeling	Eng
552	that	Eng
553	he	Eng
554	did	Eng
555	not	Eng
556	have	Eng
557	insurance	Eng
558	.	Eng
559	Oh	Eng
560	man	Eng
561	.	Eng
562	I	Eng
563	do	Eng
564	not	Eng
565	know	Eng
566	,	Eng
567	because	Eng
568	the	Eng
569	police	Eng
570	thought	Eng
571	you	Eng
572	know	Eng
573	he	Eng
574	was	Eng
575	a	Eng
576	policeman	Eng
577	,	Eng
578	and	Eng
579	the	Eng
580	police	Eng
581	officers	Eng
582	were	Eng
583	there	Eng
584	taking	Eng
585	up	Eng
586	a	Eng
587	collection	Eng
588	for	Eng
589	them	Eng
590	.	Eng
591	So	Eng
592	,	Eng
593	I	Eng
594	think	Eng
595	that	Eng
596	they	Eng
597	must	Eng
598	have	Eng
599	been	Eng
600	what	Eng
601	do	Eng
602	you	Eng
603	think	Eng
604	<UNK>	Eng
605	?	Eng
606	He	Eng
607	what	Eng
608	?	Eng
609	I	Eng
610	think	Eng
611	they	Eng
612	are	Eng
613	gonna	Eng
614	<UNK>	Eng
615	need	Eng
616	money	Eng
617	for	Eng
618	medical	Eng
619	expenses	Eng
620	.	Eng
621	Gracias	Span
622	.	Span
623	<UNK>	Eng
624	from	Eng
625	the	Eng
626	Dean	Eng
627	.	Eng
628	So	Eng
629	see	Eng
630	,	Eng
631	this	Eng
632	is	Eng
633	when	Eng
634	they	Eng
635	were	Eng
636	talking	Eng
637	about	Eng
638	where	Eng
639	they	Eng
640	should	Eng
641	reverse	Eng
642	the	Eng
643	voices	Eng
644	and	Eng
645	put	Eng
646	somebody	Eng
647	else	Eng
648	voice	Eng
649	on	Eng
650	there	Eng
651	.	Eng
652	Frog	Eng
653	<UNK>	Eng
654	.	Eng
655	This	Eng
656	is	Eng
657	when	Eng
658	they	Eng
659	were	Eng
660	talking	Eng
661	about	Eng
662	you	Eng
663	.	Eng
664	They	Eng
665	were	Eng
666	planning	Eng
667	a	Eng
668	lawsuit	Eng
669	.	Eng
670	Well	Eng
671	?	Eng
672	No	Span
673	,	Span
674	es	Span
675	que	Span
676	one	Eng
677	of	Eng
678	her	Eng
679	boyfriends	Eng
680	se	Span
681	muri�	Span
682	.	Span
683	El	Span
684	s�bado	Span
685	,	Span
686	ten�a	Span
687	cuarenta	Span
688	y	Span
689	nueve	Span
690	a�os	Span
691	.	Span
692	Est�	Span
693	joven	Span
694	.	Span
695	I	Eng
696	know	Eng
697	.	Eng
698	De	Span
699	complicaciones	Span
700	de	Span
701	una	Span
702	virus	Eng
703	.	Eng
704	pero	Span
705	no	Span
706	supe	Span
707	de	Span
708	qu�	Span
709	?	Span
710	Pero	Span
711	qu�	Span
712	tipo	Span
713	de	Span
714	virus	Eng
715	,	Span
716	no	Span
717	te	Span
718	dijeron	Span
719	?	Span
720	Nn-hmm	Span
721	.	Span
722	Y	Span
723	le	Span
724	pego	Span
725	en	Span
726	el	Span
727	corazon	Span
728	?	Span
729	No	Eng
730	.	Eng
731	No	Eng
732	,	Eng
733	este	Span
734	?	Span
735	that	Eng
736	was	Eng
737	another	Eng
738	complication	Eng
739	.	Eng
740	What	Eng
741	happened	Eng
742	?	Eng
743	He	Eng
744	got	Eng
745	a	Eng
746	virus	Eng
747	of	Eng
748	some	Eng
749	kind	Eng
750	.	Eng
751	Uh-huh	Eng
752	.	Eng
753	I	Eng
754	do	Eng
755	not	Eng
756	know	Eng
757	it	Eng
758	was	Eng
759	<UNK>	Eng
760	virus	Eng
761	or	Eng
762	blue	Eng
763	or	Eng
764	whatever	Eng
765	.	Eng
766	It	Eng
767	was	Eng
768	at	Eng
769	<UNK>	Eng
770	,	Eng
771	verdad	Span
772	?	Span
773	Yeah	Eng
774	.	Eng
775	I	Eng
776	kind	Eng
777	of	Eng
778	thought	Eng
779	it	Eng
780	was	Eng
781	.	Eng
782	I	Eng
783	had	Eng
784	to	Eng
785	?	Eng
786	I	Eng
787	had	Eng
788	to	Eng
789	?	Eng
790	Lemme	Eng
791	get	Eng
792	the	Eng
793	check	Eng
794	.	Eng
795	I	Eng
796	was	Eng
797	,	Eng
798	I	Eng
799	was	Eng
800	,	Eng
801	I	Eng
802	was	Eng
803	nervous	Eng
804	because	Eng
805	.	Eng
806	Hmm	Eng
807	.	Eng
808	Oh	Eng
809	,	Eng
810	wow	Eng
811	.	Eng
812	Really	Eng
813	they	Eng
814	loosed	Eng
815	them	Eng
816	.	Eng
817	Vaya	Span
818	,	Span
819	tienes	Span
820	que	Span
821	pedirlo	Span
822	through	Eng
823	para	Span
824	,	Span
825	uh	Span
826	,	Span
827	uh	Span
828	,	Span
829	desde	Span
830	la	Span
831	China	Eng
832	o	Eng
833	<UNK>	Eng
834	?	Eng
835	No	Eng
836	,	Eng
837	no	Eng
838	,	Eng
839	no	Eng
840	,	Eng
841	and	Eng
842	?	Eng
843	La	Span
844	China	Eng
845	?	Span
846	<UNK>	Span
847	embajada	Span
848	china	Span
849	.	Span
850	Oh	Eng
851	.	Eng
852	Dije	Span
853	,	Span
854	ah	Span
855	Chihuahua	Span
856	,	Span
857	pos	Span
858	con	Span
859	raz�n	Span
860	.	Span
861	No	Eng
862	,	Eng
863	no	Eng
864	.	Eng
865	Lo	Span
866	mand�	Span
867	a	Span
868	Houston	Span
869	.	Span
870	Y	Span
871	luego	Span
872	,	Span
873	uh	Span
874	,	Span
875	que	Span
876	documentaci�n	Span
877	te	Span
878	piden	Span
879	?	Span
880	Para	Span
881	la	Span
882	visa	Span
883	?	Span
884	Pero	Span
885	no	Span
886	es	Span
887	visa	Span
888	,	Span
889	es	Span
890	m�s	Span
891	bien	Span
892	pasaporte	Span
893	para	Span
894	entrar	Span
895	al	Span
896	pa�s	Span
897	no	Span
898	?	Span
899	Eh	Span
900	,	Span
901	o	Span
902	sea	Span
903	el	Span
904	pasaporte	Span
905	es	Span
906	de	Span
907	<UNK>	Span
908	.	Span
909	No	Span
910	ponen	Span
911	tu	Span
912	nombre	Span
913	completo	Span
914	.	Span
915	No	Span
916	?	Span
917	No	Span
918	ponen	Span
919	tu	Span
920	nombre	Span
921	completo	Span
922	.	Span
923	No	Span
924	?	Span
925	Nomas	Span
926	le	Span
927	ponen	Span
928	H	Span
929	Salas	Span
930	Robles	Span
931	.	Span
932	O	Span
933	sea	Span
934	el	Span
935	?	Span
936	You	Eng
937	are	Eng
938	going	Eng
939	to	Eng
940	China	Eng
941	?	Eng
942	Yeah	Eng
943	.	Eng
944	Uh-huh	Eng
945	.	Eng
946	Wow	Eng
947	,	Eng
948	on	Eng
949	vacation	Eng
950	or	Eng
951	just	Eng
952	?	Eng
953	No	Eng
954	,	Eng
955	a	Eng
956	conference	Eng
957	.	Eng
958	Wow	Eng
959	?	Eng
960	Next	Eng
961	week	Eng
962	.	Eng
963	Y	Span
964	de	Span
965	vacaciones	Span
966	tambi�n	Span
967	.	Span
968	Para	Span
969	qu�	Span
970	te	Span
971	,	Span
972	para	Span
973	qu�	Span
974	te	Span
975	haces	Span
976	?	Span
977	A	Eng
978	little	Eng
979	bit	Eng
980	of	Eng
981	both	Eng
982	,	Eng
983	al	Span
984	cabo	Span
985	lo	Span
986	estamos	Span
987	grabando	Span
988	,	Span
989	verdad	Span
990	?	Span
991	Le	Span
992	vamos	Span
993	a	Span
994	decir	Span
995	a	Span
996	a	Span
997	Marisa	Span
998	.	Span
999	Con	Span
1000	las	Span
1001	chinitas	Span
1002	.	Span
1003	C�llate	Span
1004	.	Span
1005	Whoops	Eng
1006	!	Eng
1007	Que	Span
1008	no	Span
1009	te	Span
1010	oiga	Span
1011	.	Span
1012	Now	Eng
1013	he	Eng
1014	is	Eng
1015	turning	Eng
1016	red	Eng
1017	.	Eng
1018	I	Eng
1019	am	Eng
1020	leaving	Eng
1021	.	Eng
1022	Ya	Span
1023	se	Span
1024	va	Span
1025	,	Span
1026	ya	Span
1027	se	Span
1028	va	Span
1029	.	Span
1030	Antes	Span
1031	de	Span
1032	que	Span
1033	vaya	Span
1034	<UNK>	Span
1035	diga	Span
1036	m�s	Span
1037	.	Span
1038	Well	Eng
1039	,	Eng
1040	see	Eng
1041	ya	Eng
1042	,	Eng
1043	bye	Eng
1044	.	Eng
1045	<UNK>	Span
1046	van	Span
1047	a	Span
1048	agarrar	Span
1049	puras	Span
1050	risadas	Span
1051	.	Span
1052	That	Eng
1053	was	Eng
1054	funny	Eng
1055	.	Eng
1056	I	Eng
1057	thought	Eng
1058	he	Eng
1059	was	Eng
1060	too	Eng
1061	.	Eng
1062	Entonces	Span
1063	le	Span
1064	dio	Span
1065	el	Span
1066	virus	Eng
1067	.	Eng
1068	y	Span
1069	no	Span
1070	se	Span
1071	lo	Span
1072	atendi�	Span
1073	,	Span
1074	and	Eng
1075	the	Eng
1076	virus	Eng
1077	spread	Eng
1078	through	Eng
1079	his	Eng
1080	body	Eng
1081	,	Eng
1082	and	Eng
1083	it	Eng
1084	took	Eng
1085	over	Eng
1086	his	Eng
1087	whole	Eng
1088	body	Eng
1089	,	Eng
1090	digo	Span
1091	,	Span
1092	it	Eng
1093	is	Eng
1094	like	Eng
1095	that	Eng
1096	virus	Eng
1097	is	Eng
1098	attacking	Eng
1099	your	Eng
1100	entire	Eng
1101	body	Eng
1102	.	Eng
1103	And	Eng
1104	so	Eng
1105	,	Eng
1106	no	Eng
1107	,	Eng
1108	no	Eng
1109	.	Eng
1110	Ya	Span
1111	agarr�	Span
1112	,	Span
1113	ya	Span
1114	tengo	Span
1115	,	Span
1116	and	Eng
1117	,	Eng
1118	um	Eng
1119	,	Eng
1120	luego	Span
1121	le	Span
1122	est�n	Span
1123	dando	Span
1124	antibiotics	Eng
1125	.	Eng
1126	Se	Span
1127	ve	Span
1128	muy	Span
1129	caro	Span
1130	mal	Span
1131	<UNK>	Span
1132	.	Span
1133	Y	Span
1134	ya	Span
1135	no	Span
1136	le	Span
1137	hizo	Span
1138	.	Span
1139	Le	Span
1140	dieron	Span
1141	,	Span
1142	like	Eng
1143	megadoses	Eng
1144	of	Eng
1145	antibiotics	Eng
1146	and	Eng
1147	did	Eng
1148	not	Eng
1149	help	Eng
1150	him	Eng
1151	,	Eng
1152	and	Eng
1153	at	Eng
1154	the	Eng
1155	same	Eng
1156	time	Eng
1157	they	Eng
1158	found	Eng
1159	out	Eng
1160	that	Eng
1161	he	Eng
1162	had	Eng
1163	a	Eng
1164	blocked	Eng
1165	artery	Eng
1166	.	Eng
1167	Oof	Eng
1168	!	Eng
1169	Hmm	Eng
1170	.	Eng
1171	And	Eng
1172	they	Eng
1173	said	Eng
1174	,	Eng
1175	but	Eng
1176	we	Eng
1177	cannot	Eng
1178	do	Eng
1179	anything	Eng
1180	about	Eng
1181	the	Eng
1182	arteries	Eng
1183	because	Eng
1184	he	Eng
1185	is	Eng
1186	too	Eng
1187	weak	Eng
1188	.	Eng
1189	Uh-huh	Eng
1190	.	Eng
1191	Y	Span
1192	eh	Span
1193	,	Span
1194	en	Span
1195	un	Span
1196	,	Span
1197	y	Span
1198	de	Span
1199	ah�	Span
1200	se	Span
1201	fue	Span
1202	para	Span
1203	abajo	Span
1204	,	Span
1205	no	Eng
1206	?	Eng
1207	Mmm-hmm	Eng
1208	.	Eng
1209	Mmm-hmm	Eng
1210	.	Eng
1211	Mmm	Eng
1212	.	Eng
1213	Y	Span
1214	,	Span
1215	um	Span
1216	?	Span
1217	I	Eng
1218	do	Eng
1219	not	Eng
1220	know	Eng
1221	al	Span
1222	�ltimo	Span
1223	como	Span
1224	estar�a	Span
1225	.	Span
1226	Cuando	Span
1227	yo	Span
1228	lo	Span
1229	vi	Span
1230	,	Span
1231	he	Eng
1232	looked	Eng
1233	pretty	Eng
1234	bad	Eng
1235	,	Eng
1236	but	Eng
1237	<UNK>	Eng
1238	.	Eng
1239	Pero	Span
1240	estaba	Span
1241	consciente	Span
1242	?	Span
1243	I	Eng
1244	mean	Eng
1245	.	Eng
1246	S�	Span
1247	.	Span
1248	Was	Eng
1249	he	Eng
1250	awake	Eng
1251	,	Eng
1252	or	Eng
1253	what	Eng
1254	is	Eng
1255	going	Eng
1256	on	Eng
1257	?	Eng
1258	Yeah	Eng
1259	.	Eng
1260	Yeah	Eng
1261	.	Eng
1262	S�	Span
1263	,	Span
1264	porque	Span
1265	yo	Span
1266	me	Span
1267	arrim�	Span
1268	y	Span
1269	luego	Span
1270	le	Span
1271	dije	Span
1272	,	Span
1273	Daniel	Eng
1274	,	Eng
1275	le	Span
1276	dije	Span
1277	,	Span
1278	it	Eng
1279	is	Eng
1280	me	Eng
1281	,	Eng
1282	you	Eng
1283	know	Eng
1284	?	Eng
1285	Y	Span
1286	luego	Span
1287	le	Span
1288	dije	Span
1289	,	Span
1290	it	Eng
1291	is	Eng
1292	Rose	Eng
1293	Baquera	Eng
1294	.	Eng
1295	You	Eng
1296	know	Eng
1297	?	Eng
1298	And	Eng
1299	,	Eng
1300	le	Span
1301	agarr�	Span
1302	la	Span
1303	mano	Span
1304	y	Span
1305	le	Span
1306	dije	Span
1307	,	Span
1308	do	Eng
1309	you	Eng
1310	know	Eng
1311	that	Eng
1312	I	Eng
1313	am	Eng
1314	here	Eng
1315	,	Eng
1316	and	Eng
1317	he	Eng
1318	opened	Eng
1319	one	Eng
1320	eye	Eng
1321	.	Eng
1322	Abri�	Span
1323	un	Span
1324	ojo	Span
1325	as�	Span
1326	,	Span
1327	amuy	Span
1328	apenitas	Span
1329	pero	Span
1330	abri�	Span
1331	un	Span
1332	ojo	Span
1333	,	Span
1334	you	Eng
1335	know	Eng
1336	?	Eng
1337	Como	Span
1338	letting	Eng
1339	you	Eng
1340	know	Eng
1341	,	Eng
1342	yeah	Eng
1343	I	Eng
1344	know	Eng
1345	.	Eng
1346	I	Eng
1347	know	Eng
1348	you	Eng
1349	are	Eng
1350	here	Eng
1351	,	Eng
1352	and	Eng
1353	uh	Eng
1354	,	Eng
1355	y	Span
1356	a	Span
1357	Aurelio	Span
1358	,	Span
1359	a	Span
1360	Aurelio	Span
1361	tambi�n	Span
1362	le	Span
1363	agarr�	Span
1364	la	Span
1365	mano	Span
1366	,	Span
1367	dijo	Span
1368	,	Span
1369	pero	Span
1370	a	Span
1371	�l	Span
1372	le	Span
1373	corri�	Span
1374	las	Span
1375	l�grimas	Span
1376	.	Span
1377	Es	Span
1378	que	Span
1379	con	Span
1380	Aurelio	Span
1381	they	Eng
1382	clashed	Eng
1383	<UNK>	Eng
1384	.	Eng
1385	Yeah	Eng
1386	.	Eng
1387	Son	Span
1388	muy	Span
1389	amigos	Span
1390	,	Span
1391	they	Eng
1392	have	Eng
1393	been	Eng
1394	friends	Eng
1395	since	Eng
1396	they	Eng
1397	were	Eng
1398	little	Eng
1399	.	Eng
1400	I	Eng
1401	am	Eng
1402	trying	Eng
1403	to	Eng
1404	place	Eng
1405	his	Eng
1406	face	Eng
1407	.	Eng
1408	Was	Eng
1409	he	Eng
1410	at	Eng
1411	the	Eng
1412	parade	Eng
1413	?	Eng
1414	A	Eng
1415	lot	Eng
1416	of	Eng
1417	them	Eng
1418	did	Eng
1419	not	Eng
1420	know	Eng
1421	him	Eng
1422	because	Eng
1423	he	Eng
1424	was	Eng
1425	in	Eng
1426	there	Eng
1427	very	Eng
1428	often	Eng
1429	,	Eng
1430	but	Eng
1431	,	Eng
1432	Well	Eng
1433	?	Eng
1434	He	Eng
1435	was	Eng
1436	at	Eng
1437	the	Eng
1438	first	Eng
1439	.	Eng
1440	the	Eng
1441	first	Eng
1442	book	Eng
1443	,	Eng
1444	the	Eng
1445	first	Eng
1446	book	Eng
1447	.	Eng
1448	Parade	Eng
1449	.	Eng
1450	Mmm-hmm	Eng
1451	.	Eng
1452	No	Eng
1453	,	Eng
1454	en	Span
1455	el	Span
1456	que	Span
1457	estaba	Span
1458	Star	Eng
1459	Wars	Eng
1460	.	Eng
1461	that	Eng
1462	was	Eng
1463	the	Eng
1464	second	Eng
1465	one	Eng
1466	.	Eng
1467	Umm	Eng
1468	.	Eng
1469	He	Eng
1470	was	Eng
1471	in	Eng
1472	it	Eng
1473	though	Eng
1474	.	Eng
1475	I	Eng
1476	do	Eng
1477	not	Eng
1478	think	Eng
1479	so	Eng
1480	.	Eng
1481	No	Eng
1482	?	Eng
1483	No	Eng
1484	.	Eng
1485	He	Eng
1486	was	Eng
1487	there	Eng
1488	for	Eng
1489	the	Eng
1490	first	Eng
1491	book	Eng
1492	.	Eng
1493	and	Eng
1494	he	Eng
1495	helped	Eng
1496	a	Eng
1497	little	Eng
1498	bit	Eng
1499	with	Eng
1500	the	Eng
1501	Star	Eng
1502	Wars	Eng
1503	.	Eng
1504	Mm-hmm	Eng
1505	.	Eng
1506	But	Eng
1507	not	Eng
1508	very	Eng
1509	often	Eng
1510	.	Eng
1511	Ooh	Eng
1512	,	Eng
1513	<UNK>	Eng
1514	.	Eng
1515	Qued�	Span
1516	muy	Span
1517	hinchado	Span
1518	.	Span
1519	Por	Span
1520	toda	Span
1521	la	Span
1522	medicina	Span
1523	.	Span
1524	Mmm-hmm	Span
1525	.	Span
1526	And	Eng
1527	then	Eng
1528	retention	Eng
1529	of	Eng
1530	the	Eng
1531	fluids	Eng
1532	.	Eng
1533	So	Eng
1534	,	Eng
1535	de	Span
1536	por	Span
1537	si	Span
1538	,	Span
1539	soy	Span
1540	chillona	Span
1541	y	Span
1542	luego	Span
1543	que	Span
1544	me	Span
1545	sentaron	Span
1546	ah�	Span
1547	en	Span
1548	frente	Span
1549	.	Span
1550	So	Eng
1551	,	Eng
1552	digo	Span
1553	al	Span
1554	principio	Span
1555	soy	Span
1556	bien	Span
1557	chillona	Span
1558	y	Span
1559	luego	Span
1560	me	Span
1561	sentaron	Span
1562	ah�	Span
1563	enfrente	Span
1564	.	Span
1565	Mmm-hmm	Eng
1566	.	Eng
1567	Kids	Eng
1568	,	Eng
1569	little	Eng
1570	kids	Eng
1571	?	Eng
1572	Grandes	Span
1573	?	Span
1574	Uno	Span
1575	de	Span
1576	ellos	Span
1577	ten�a	Span
1578	como	Span
1579	unos	Span
1580	twelve	Eng
1581	.	Eng
1582	Eleven	Eng
1583	,	Eng
1584	twelve	Eng
1585	.	Eng
1586	Ooh	Eng
1587	,	Eng
1588	ya	Span
1589	no	Span
1590	est�n	Span
1591	.	Span
1592	The	Eng
1593	only	Eng
1594	girl	Eng
1595	looked	Eng
1596	like	Eng
1597	Alex	Eng
1598	,	Eng
1599	maybe	Eng
1600	seventeen	Eng
1601	,	Eng
1602	eighteen	Eng
1603	.	Eng
1604	Well	Eng
1605	,	Eng
1606	I	Eng
1607	do	Eng
1608	not	Eng
1609	know	Eng
1610	the	Eng
1611	old	Eng
1612	one	Eng
