Index	Token	Language
176	Kun	NamedEnt
177	,	Punct
178	Wim	NamedEnt
179	Lindeque	NamedEnt
180	,	Punct
181	Tiffany	NamedEnt
182	Ana	NamedEnt
183	López	NamedEnt
184	,	Punct
185	Adelaida	NamedEnt
186	López-Mejía	NamedEnt
187	,	Punct
188	Gustavo	NamedEnt
189	Llarull	NamedEnt
190	,	Punct
191	Jorge	NamedEnt
192	Mariscal	NamedEnt
193	,	Punct
194	Francine	NamedEnt
195	Masiello	NamedEnt
196	,	Punct
197	Alistair	NamedEnt
198	McCartney	NamedEnt
199	,	Punct
200	Michael	NamedEnt
201	McGaha	NamedEnt
202	,	Punct
203	Tim	NamedEnt
204	Miller	NamedEnt
205	,	Punct
206	María	NamedEnt
207	Gabriela	NamedEnt
208	Mizraje	NamedEnt
209	,	Punct
210	Florence	NamedEnt
211	MoorheadRosenberg	NamedEnt
212	,	Punct
213	Francisca	NamedEnt
214	Noguerol	NamedEnt
215	,	Punct
216	Andrea	NamedEnt
217	Ostrov	NamedEnt
218	,	Punct
219	Cristina	NamedEnt
220	Piña	NamedEnt
221	,	Punct
222	Hilda	NamedEnt
223	Rais	NamedEnt
224	,	Punct
225	Lynn	NamedEnt
226	Rapaport	NamedEnt
227	,	Punct
228	Victor	NamedEnt
229	Richini	NamedEnt
230	,	Punct
231	John	NamedEnt
232	Carlos	NamedEnt
233	Rowe	NamedEnt
234	,	Punct
235	Emma	NamedEnt
236	Sepúlveda	NamedEnt
237	,	Punct
238	Ana	NamedEnt
239	María	NamedEnt
240	Shua	NamedEnt
241	,	Punct
242	Saúl	NamedEnt
243	Sosnowski	NamedEnt
244	,	Punct
245	Ilán	NamedEnt
246	Stavans	NamedEnt
247	,	Punct
248	Mónica	NamedEnt
249	Szurmuk	NamedEnt
250	,	Punct
251	Miguel	NamedEnt
252	Tinker	NamedEnt
253	Salas	NamedEnt
254	,	Punct
255	Daniel	NamedEnt
256	Torres	NamedEnt
257	,	Punct
258	Paulina	NamedEnt
259	Vinderman	NamedEnt
260	,	Punct
261	Margaret	NamedEnt
262	Waller	NamedEnt
263	,	Punct
264	Suzinn	NamedEnt
265	Lee	NamedEnt
266	Weiss	NamedEnt
267	,	Punct
268	Heather	NamedEnt
269	Williams	NamedEnt
270	,	Punct
271	Howard	NamedEnt
272	T.	NamedEnt
273	Young	NamedEnt
274	.	Punct
275	The	Eng
276	following	Eng
277	former	Eng
278	students	Eng
279	at	Eng
280	Pomona	Eng
281	College	Eng
282	have	Eng
283	all	Eng
284	read	Eng
285	and	Eng
286	given	Eng
287	me	Eng
288	invaluable	Eng
289	feedback	Eng
290	on	Eng
291	múltiples	Spn
292	versiones	Spn
293	de	Spn
294	estas	Spn
295	crónicas	Spn
296	,	Punct
10174	—	Punct
10175	No	Spn
10176	!	Punct
10177	Que	Spn
10178	no	Spn
10179	.	Punct
10180	Que	Spn
10181	no	Spn
10182	pue	Spn
10183	’	Punct
10184	se	Spn
10185	’	Punct
10186	,	Punct
10187	que	Spn
10188	esto	Spn
10189	no	Spn
10190	es	Spn
10191	normal	Spn
10192	.	Punct
10193	–	Punct
10194	Qué	Spn
10195	?	Punct
10196	le	Spn
10197	pregunté	Spn
10198	,	Punct
10199	dreading	Eng
10200	his	Eng
10201	response	Eng
10202	.	Punct
10203	Porque	Spn
10204	when	Eng
10205	we’d	Eng
10206	first	Eng
10207	entered	Eng
10208	El	NamedEnt
10209	Chino	NamedEnt
10210	,	Punct
10211	he’d	Eng
10212	whispered	Eng
10213	to	Eng
10214	me	Eng
10215	,	Punct
10216	—	Punct
10217	Esto	Spn
10218	no	Spn
10219	me	Spn
10220	gusta	Spn
10221	,	Punct
10222	Susana	NamedEnt
10223	.	Punct
10224	Parece	Spn
10225	que	Spn
10226	nos	Spn
10227	van	Spn
10228	a	Spn
10229	estafar	Spn
10230	,	Punct
10231	eh	Spn
10232	?	Punct
10233	Y	Spn
10234	yo	Spn
10235	,	Punct
10236	tan	Spn
10237	inocente	Spn
10238	entonces	Spn
10239	,	Punct
10240	only	Eng
10241	a	Eng
10242	couple	Eng
10243	of	Eng
10244	hours	Eng
10245	earlier	Eng
10246	,	Punct
10247	le	Spn
10248	había	Spn
10249	asegurado	Spn
10250	—	Punct
10251	que	Spn
10252	no	Spn
10253	,	Punct
10254	Pablo	NamedEnt
10255	.	Punct
10256	Que	Spn
10257	este	Spn
10258	lugar	Spn
10259	es	Spn
10260	para	Spn
10261	insiders	Eng
10262	.	Punct
10263	Not	Eng
10264	for	Eng
10265	tourists	Eng
10266	,	Punct
10267	te	Spn
10268	lo	Spn
10269	prometo	Spn
10270	.	Punct
10271	–	Punct
10272	Que	Spn
10273	no	Spn
10274	!	Punct
10275	Que	Spn
10276	nos	Spn
10277	quieren	Spn
10278	cobrar	Spn
10279	90	Num
10280	pesos	Spn
10281	,	Punct
10282	joder	Spn
10283	.	Punct
10284	All	Eng
10285	of	Eng
10286	us	Eng
10287	,	Punct
10288	like	Eng
10289	five	Eng
10290	Sleeping	Eng
10291	Beauties	Eng
10292	jerked	Eng
10293	awake	Eng
10294	by	Eng
10295	the	Eng
10296	kiss	Eng
10297	(	Punct
10298	of	Eng
10299	death	Eng
10300	!	Punct
10301	)	Punct
10302	de	Spn
10303	esa	Spn
10304	cuenta	Spn
10305	trucha	Spn
10306	,	Punct
10307	began	Eng
10308	to	Eng
10309	shriek	Eng
10310	.	Punct
10311	No	Eng
10312	way	Eng
10313	,	Punct
10314	oh	Eng
10315	my	Eng
10316	god	Eng
10317	,	Punct
10318	there	Eng
10319	was	Eng
10320	no	Eng
10321	price	Eng
10322	list	Eng
10323	,	Punct
10324	where’d	Eng
10325	they	Eng
10326	get	Eng
10327	$90	Num
10328	?	Punct
10329	And	Eng
10330	so	Eng
10331	on	Eng
10332	.	Punct
10333	Bahram	NamedEnt
10334	began	Eng
10335	to	Eng
10336	gesticulate	Eng
10337	and	Eng
10338	armar	Spn
10339	frases	Spn
10340	litigiosas	Spn
10341	y	Spn
10342	levemente	Spn
10343	amenazantes	Spn
10344	.	Punct
10345	I	Eng
10346	felt	Eng
10347	better	Eng
10348	.	Punct
10349	Como	Spn
10350	protegida	Spn
10351	.	Punct
10352	Pero	Spn
10353	around	Eng
10354	us	Eng
10355	,	Punct
10356	la	Spn
10357	gente	Spn
10358	comenzó	Spn
10359	a	Spn
10360	mirarnos	Spn
10361	medio	Spn
10362	feo	Spn
10363	.	Punct
10364	Ni	Spn
10365	siquiera	Spn
10366	nos	Spn
10367	habíamos	Spn
10368	dado	Spn
10369	cuenta	Spn
10370	de	Spn
10371	que	Spn
10372	entre	Spn
10373	todo	Spn
10374	el	Spn
10375	revolú	Spn
10376	,	Punct
10377	there	Eng
10378	had	Eng
10379	been	Eng
10380	a	Eng
10381	change	Eng
10382	of	Eng
10383	performers	Eng
10384	:	Punct
10385	ahora	Spn
10386	cantaba	Spn
10387	un	Spn
10388	viejo	Spn
10389	alto	Spn
10390	,	Punct
10391	espigado	Spn
10392	,	Punct
10393	de	Spn
10394	elegantes	Spn
10395	cabeshos	Spn
10396	blancos	Spn
10397	.	Punct
10398	At	Eng
10399	least	Eng
10400	helooksthe	EngNoSpace
10401	part	Eng
10402	,	Punct
10403	pensé	Spn
10404	.	Punct
10405	But	Eng
10406	I	Eng
10407	was	Eng
10408	already	Eng
10409	up	Eng
10410	,	Punct
10411	squeezing	Eng
10412	entre	Spn
10413	el	Spn
10414	bench	Eng
10415	y	Spn
10416	la	Spn
10417	pared	Spn
10418	,	Punct
10419	shoving	Eng
10420	aside	Eng
10421	shoulders	Eng
10422	and	Eng
10423	knees	Eng
10424	,	Punct
10425	followed	Eng
10426	by	Eng
10427	the	Eng
10428	Juvenile	NamedEnt
10429	and	Eng
10430	Pierre	NamedEnt
10431	.	Punct
10432	As	Eng
10433	we	Eng
10434	passed	Eng
10435	el	Spn
10436	cantante	Spn
10437	,	Punct
10438	I	Eng
10439	heard	Eng
10440	,	Punct
10441	como	Spn
10442	desde	Spn
10443	un	Spn
10444	slo-mo	Eng
10445	sueño	Spn
10446	,	Punct
10447	que	Spn
10448	éste	Spn
10449	componía	Spn
10450	y	Spn
10451	cantaba	Spn
10452	en	Spn
10453	el	Spn
10454	acto	Spn
10455	letras	Spn
10456	tangueras	Spn
10457	about	Eng
10458	us	Eng
10459	,	Punct
10460	about	Eng
10461	rude	Eng
10462	ehtranjeros	NonStSpn
10463	who	Eng
10464	left	Eng
10465	half-way	Eng
10466	through	Eng
10467	el	Spn
10468	show	Eng
10469	!	Punct
10470	Esto	Spn
10471	,	Punct
10472	pensé	Spn
10473	—	Punct
10474	ever	Eng
10475	daddy’s	Eng
10476	girl	Eng
10477	—	Punct
10478	es	Spn
10479	la	Spn
10480	tradición	Spn
10481	oral	Spn
10482	en	Spn
10483	Bahram	NamedEnt
10484	,	Punct
10485	en	Spn
10486	su	Spn
10487	conversación	Spn
10488	con	Spn
10489	la	Spn
10490	tango	Spn
10491	mistress	Eng
10492	,	Punct
10493	had	Eng
10494	learned	Eng
10495	que	Spn
10496	en	Spn
10497	efecto	Spn
10498	,	Punct
10499	no	Spn
10500	“	Punct
10501	era	Spn
10502	normal	Spn
10503	"	Punct
10504	que	Spn
10505	nos	Spn
10506	cobraran	Spn
10507	los	Spn
10508	$90	Num
10509	,	Punct
10510	since	Eng
10511	we’d	Eng
10512	paid	Eng
10513	$40	Num
10514	for	Eng
10515	the	Eng
10516	dinner	Eng
10517	.	Punct
10518	Pablo	NamedEnt
10519	,	Punct
10520	alentado	Spn
10521	con	Spn
10522	esta	Spn
10523	información	Spn
10524	,	Punct
10525	insistía	Spn
10526	con	Spn
10527	el	Spn
10528	mozo	Spn
10529	:	Punct
10530	—	Punct
10531	que	Spn
10532	no	Spn
10533	,	Punct
10534	y	Spn
10535	punto	Spn
10536	.	Punct
10537	Esto	Spn
10538	no	Spn
10539	es	Spn
10540	normal	Spn
10541	,	Punct
10542	coño	Spn
10543	.	Punct
10544	Ya	Spn
10545	pagamos	Spn
10546	la	Spn
10547	consumición	Spn
10548	y	Spn
10549	novamos	Spn
10550	a	Spn
10551	pagar	Spn
10552	el	Spn
10553	show	Eng
10554	.	Punct
10555	Ve	Spn
10556	y	Spn
10557	pregúntaselo	Spn
10558	a	Spn
10559	El	NamedEnt
10560	Chino	NamedEnt
10561	si	Spn
10562	quieres	Spn
10563	.	Punct
10564	Eso	Spn
10565	es	Spn
10566	,	Punct
10567	pregúntaselo	Spn
10568	,	Punct
10569	anda	Spn
10570	.	Punct
10571	El	Spn
10572	mozo	Spn
10573	,	Punct
10574	tras	Spn
10575	consultar	Spn
10576	sotto	Ital
10577	vocecon	MixedNoSpace
10578	el	Spn
10579	dueño	Spn
10580	,	Punct
10581	retornó	Spn
10582	medio	Spn
10583	crestfallen	Eng
10584	,	Punct
10585	shaking	Eng
10586	his	Eng
10587	jet-black	Eng
10588	bucles	Eng
10589	,	Punct
10590	with	Eng
10591	the	Eng
10592	Chino-certified	Eng
10593	price	Eng
10594	:	Punct
10595	$40	Num
10596	.	Punct
10597	Triunfantes	Eng
10598	,	Punct
10599	ignoring	Eng
10600	the	Eng
10601	dirty	Eng
10602	looks	Eng
10603	de	Spn
10604	demás	Spn
10605	comensales	Spn
10606	and	Eng
10607	the	Eng
10608	now	Eng
10609	frankly	Eng
10610	hostile	Eng
10611	spontaneous	Eng
10612	riffs	Eng
10613	about	Eng
10614	our	Eng
10615	premature	Eng
10616	exit	Eng
10617	del	Spn
10618	abueleril	NonStSpn
10619	cantante	Spn
10620	,	Punct
10621	we	Eng
10622	were	Eng
10623	spewed	Eng
10624	,	Punct
10625	Jonah-like	Eng
10626	onto	Eng
10627	la	Spn
10628	vereda	Spn
10629	.	Punct
10630	As	Eng
10631	we	Eng
10632	waited	Eng
10633	for	Eng
10634	“	Punct
10635	Onda	Spn
10636	Verde	Spn
10637	,	Punct
10638	"	Punct
10639	observamos	Spn
10640	,	Punct
10641	incrédulos	Spn
10642	,	Punct
10643	the	Eng
10644	hordes	Eng
10645	of	Eng
10646	hopefuls	Eng
10647	,	Punct
10648	huddled	Eng
10649	about	Eng
10650	las	Spn
10651	dos	Spn
10652	ventanas	Spn
10653	,	Punct
10654	who	Eng
10655	hadn’t	Eng
10656	managed	Eng
10657	to	Eng
10658	get	Eng
10659	a	Eng
10660	seat	Eng
10661	in	Eng
10662	“	Punct
10663	Bar	Eng
10664	El	NamedEnt
10665	Chino	NamedEnt
10666	.	Punct
10667	"	Punct
10668	P.S.	Eng
10669	Dos	Spn
10670	semanas	Spn
10671	después	Spn
10672	,	Punct
10673	after	Eng
10674	Pablo	NamedEnt
10675	and	Eng
10676	Bahram	NamedEnt
10677	had	Eng
10678	departed	Eng
10679	to	Eng
10680	their	Eng
10681	respective	Eng
10682	“	Punct
10683	patrias	Spn
10684	"	Punct
10685	(	Punct
10686	Pablo	NamedEnt
10687	a	Spn
10688	su	Spn
10689	cátedra	Spn
10690	in	Eng
10691	an	Eng
10692	Andalusian	Eng
10693	university	Eng
10694	and	Eng
10695	Bahram	NamedEnt
10696	to	Eng
10697	an	Eng
10698	important	Eng
10699	northernCalifornia	EngNoSpace
10700	law	Eng
10701	firm	Eng
10702	)	Punct
10703	,	Punct
10704	apareció	Spn
10705	yet	Eng
10706	another	Eng
10707	article	Eng
10708	on	Eng
10709	tango	Spn
10710	,	Punct
10711	this	Eng
10712	time	Eng
10713	in	Eng
10714	the	Eng
10715	Sunday	Eng
10716	revista	Spn
10717	of	Eng
10718	the	Eng
10719	local	Eng
10720	diario	Spn
10721	,	Punct
10722	Clarín	Spn
10723	.	Punct
10724	“	Punct
10725	Un	Spn
10726	boom	Eng
10727	que	Spn
10728	llega	Spn
10729	a	Spn
10730	todo	Spn
10731	el	Spn
10732	mundo	Spn
10733	,	Punct
10734	"	Punct
10735	heralded	Eng
10736	the	Eng
10737	article	Eng
10738	,	Punct
10739	titled	Eng
10740	“	Punct
10741	Fenómeno	Spn
10742	Tango	Spn
10743	.	Punct
10744	"	Punct
10745	In	Eng
10746	a	Eng
10747	lengthy	Eng
10748	sidebar	Eng
10749	about	Eng
10750	“	Punct
10751	El	NamedEnt
10752	Chino	NamedEnt
10753	"	Punct
10754	(	Punct
10755	described	Eng
10756	as	Eng
10757	“	Punct
10758	un	Spn
10759	bar	Eng
10760	maravillosamente	Spn
10761	descascarado	Spn
10762	,	Punct
10763	barroco	Spn
10764	y	Spn
10765	hechicero	Spn
10766	"	Punct
10767	)	Punct
10768	,	Punct
10769	la	Spn
10770	rubia	Spn
10771	destartalada	Spn
10772	aquella	Spn
10773	,	Punct
10774	named	Eng
10775	Cristina	NamedEnt
10776	de	Spn
10777	los	NamedEnt
10778	Angeles	NamedEnt
10779	,	Punct
10780	announces	Eng
10781	triumphantly	Eng
10782	,	Punct
10783	“	Punct
10784	Hoy	Spn
10785	tenemos	Spn
10786	gente	Spn
10787	de	Spn
10788	Irán	NamedEnt
10789	,	Punct
10790	Suecia	NamedEnt
10791	,	Punct
10792	el	Spn
10793	Japón	NamedEnt
10794	,	Punct
10795	Francia	NamedEnt
10796	,	Punct
10797	y	Spn
10798	España	NamedEnt
10799	.	Punct
10800	"	Punct
10801	Pablo	NamedEnt
10802	,	Punct
10803	this	Eng
10804	one	Eng
10805	is	Eng
10806	para	Spn
10807	vos	Spn
10808	.	Punct
10809	IV	Num
10810	Blood/Relations	Eng
10811	Crónica	Spn
10812	28	Num
10813	junio	Spn
10814	2001	Num
10815	Buenos	NamedEnt
10816	Aires	NamedEnt
10817	Para	Spn
10818	Etienne	NamedEnt
10819	Joseph	NamedEnt
10820	y	Spn
10821	para	Spn
10822	Jorge	NamedEnt
10823	Mariscal	NamedEnt
10824	Writing	Eng
10825	away	Eng
10826	estaba	Spn
10827	,	Punct
10828	en	Spn
10829	una	Spn
10830	tale	Eng
10831	of	Eng
10832	3	Num
10833	sisters	Eng
10834	.	Punct
10835	Concentration	Eng
10836	broken	Eng
10837	,	Punct
10838	interrumpida	Spn
10839	por	Spn
10840	el	Spn
10841	ring	Eng
10842	ring	Eng
10843	y	Spn
10844	no	Spn
10845	suelo	Spn
10846	contehtar	NonStSpn
10847	siempre	Spn
10848	dejo	Spn
10849	la	Spn
10850	máquina	Spn
10851	pero	Spn
10852	something	Eng
10853	caught	Eng
10854	me	Eng
10855	y	Spn
10856	atendí	Spn
10857	y	Spn
10858	era	Spn
10859	Betty	NamedEnt
10860	Galant	Eng
10861	,	Punct
10862	RECTORA	Spn
10863	del	Spn
10864	colegio	Spn
10865	del	Spn
10866	Juvenil	Spn
10867	,	Punct
10868	and	Eng
10869	it	Eng
10870	all	Eng
10871	was	Eng
10872	so	Eng
10873	fast	Eng
10874	so	Eng
10875	fast	Eng
10876	y	Spn
10877	yo	Spn
10878	que	Spn
10879	sólo	Spn
10880	ayer	Spn
10881	me	Spn
10882	estuve	Spn
10883	medio	Spn
10884	casi	Spn
10885	congratulating	Eng
10886	on	Eng
10887	my	Eng
10888	charming	Eng
10889	,	Punct
10890	sentient	Eng
10891	,	Punct
10892	politically	Eng
10893	aware	Eng
10894	boy	Eng
10895	,	Punct
10896	my	Eng
10897	boitjie	Afrk
10898	,	Punct
10899	adolescente	Spn
10900	.	Punct
10901	.	Punct
10902	.	Punct
10903	.	Punct
10904	.	Punct
10905	.	Punct
10906	y	Spn
10907	Betty	NamedEnt
10908	Galant	Eng
10909	diciendo	Spn
10910	está	Spn
10911	bien	Spn
10912	,	Punct
10913	Joey	NamedEnt
10914	está	Spn
10915	bien	Spn
10916	pero	Spn
10917	...	Punct
10918	ehte	NonStSpn
10919	,	Punct
10920	cometió	Spn
10921	un	Spn
10922	“	Punct
10923	acto	Spn
10924	irreflexivo	Spn
10925	"	Punct
10926	(	Punct
10927	so	Eng
10928	Argentine	Eng
10929	,	Punct
10930	esto	Spn
10931	!	Punct
10932	)	Punct
10933	y	Spn
10934	quisiera	Spn
10935	que	Spn
10936	vengas	Spn
10937	a	Spn
10938	recogerlo	Spn
10939	,	Punct
10940	llevarlo	Spn
10941	a	Spn
10942	casa	Spn
10943	y	Spn
10944	para	Spn
10945	que	Spn
10946	reflexione	Spn
10947	.	Punct
10948	Se	Spn
10949	cortó	Spn
10950	la	Spn
10951	mano	Spn
10952	un	Spn
10953	poco	Spn
10954	,	Punct
10955	eso	Spn
10956	es	Spn
10957	.	Punct
10958	Y	Spn
10959	yo	Spn
10960	en	Spn
10961	piyama	Spn
10962	furious	Eng
10963	,	Punct
10964	me	Spn
10965	SACA	Spn
10966	de	Spn
10967	onda	Spn
10968	que	Spn
10969	me	Spn
10970	humishen	NonStSpn
10971	,	Punct
10972	Joey	NamedEnt
10973	sabe	Spn
10974	ehto	NonStSpn
10975	.	Punct
10976	.	Punct
10977	.	Punct
10978	cómo	Spn
10979	sigo	Spn
10980	en	Spn
10981	piyama	Spn
10982	?	Punct
10983	Y	Spn
10984	ahora	Spn
10985	rehearsing	Eng
10986	my	Eng
10987	speech	Eng
10988	de	Spn
10989	madre	Spn
10990	concerned	Eng
10991	,	Punct
10992	calm	Eng
10993	,	Punct
10994	NORMAL	Eng
10995	(	Punct
10996	I’m	Eng
10997	worried	Eng
10998	about	Eng
10999	being	Eng
11000	“	Punct
11001	normal	Eng
11002	,	Punct
11003	"	Punct
11004	living	Eng
11005	in	Eng
11006	“	Punct
11007	Villa	NamedEnt
11008	Freud	NamedEnt
11009	"	Punct
11010	?	Punct
11011	)	Punct
11012	,	Punct
11013	ante	Spn
11014	la	Spn
11015	Rectora	NamedEnt
11016	eh	Spn
11017	ah	Spn
11018	,	Punct
11019	soy	Spn
11020	ehcritora	NonStSpn
11021	como	Spn
11022	Ud	Spn
11023	.	Punct
11024	sabe	Spn
11025	,	Punct
11026	trabajo	Spn
11027	en	Spn
11028	casa	Spn
11029	,	Punct
11030	perdone	Spn
11031	mi	Spn
11032	tardanza	Spn
11033	,	Punct
11034	ni	Spn
11035	siquiera	Spn
11036	ehtuve	NonStSpn
11037	vehtida	NonStSpn
11038	.	Punct
11039	.	Punct
11040	.	Punct
11041	Oh	Eng
11042	god	Eng
11043	.	Punct
11044	(	Punct
11045	Y	Spn
11046	el	Spn
11047	step-daddy	Eng
11048	suele	Spn
11049	ocuparse	Spn
11050	,	Punct
11051	this	Eng
11052	year	Eng
11053	at	Eng
11054	least	Eng
11055	,	Punct
11056	aquí	Spn
11057	en	Spn
11058	Buenos	NamedEnt
11059	Aires	NamedEnt
11060	,	Punct
11061	de	Spn
11062	estos	Spn
11063	asuntos	Spn
11064	del	Spn
11065	Juvenil	Spn
11066	tipo	Spn
11067	colegio	Spn
11068	,	Punct
11069	pero	Spn
11070	he’s	Eng
11071	out	Eng
11072	,	Punct
11073	ay	Spn
11074	he’s	Eng
11075	out	Eng
11076	and	Eng
11077	where	Eng
11078	are	Eng
11079	the	Eng
11080	tetanus	Eng
11081	shot	Eng
11082	medical	Eng
11083	records	Eng
11084	?	Punct
11085	Has	Eng
11086	he	Eng
11087	or	Eng
11088	hasn’t	Eng
11089	he	Eng
11090	?	Punct
11091	Mind	Eng
11092	a	Eng
11093	blank	Eng
11094	)	Punct
11095	.	Punct
11096	Y	Spn
11097	qué	Spn
11098	digo	Spn
11099	,	Punct
11100	me	Spn
11101	muero	Spn
11102	de	Spn
11103	vergüenza	Spn
11104	y	Spn
11105	rabia	Spn
11106	y	Spn
11107	otra	Spn
11108	vez	Spn
11109	su	Spn
11110	famosa	Spn
11111	temper	Eng
11112	,	Punct
11113	que	Spn
11114	a	Spn
11115	mí	Spn
11116	me	Spn
11117	gusta	Spn
11118	achacársela	Spn
11119	a	Spn
11120	su	Spn
11121	padre	Spn
11122	,	Punct
11123	digo	Spn
11124	al	Spn
11125	bio-dad	NonStEng
11126	,	Punct
11127	pero	Spn
11128	claro	Spn
11129	hay	Spn
11130	que	Spn
11131	reconocer	Spn
11132	que	Spn
11133	yo	Spn
11134	también	Spn
11135	,	Punct
11136	claro	Spn
11137	,	Punct
11138	soy	Spn
11139	fogosísima	Spn
11140	como	Spn
11141	dicen	Spn
11142	aquí	Spn
11143	y	Spn
11144	me	Spn
11145	arrabio	Spn
11146	pero	Spn
11147	eso	Spn
11148	sí	Spn
11149	,	Punct
11150	me	Spn
11151	calmo	Spn
11152	al	Spn
11153	tiro	Spn
11154	,	Punct
11155	NUNCA	Spn
11156	me	Spn
11157	pongo	Spn
11158	violenta	Spn
11159	,	Punct
11160	ni	Spn
11161	pego	Spn
11162	,	Punct
11163	ni	Spn
11164	tiro	Spn
11165	and	Eng
11166	I	Eng
11167	NEVER	Eng
11168	NEVER	Eng
11169	hold	Eng
11170	a	Eng
11171	grudge	Eng
11172	.	Punct
11173	Bueno	Spn
11174	me	Spn
11175	visto	Spn
11176	,	Punct
11177	un	Spn
11178	poco	Spn
11179	de	Spn
11180	Estée	NamedEnt
11181	Lauder	NamedEnt
11182	“	Punct
11183	Candied	NamedEnt
11184	Fig	NamedEnt
11185	"	Punct
11186	lipstick	Eng
11187	,	Punct
11188	holdover	Eng
11189	color	Eng
11190	from	Eng
11191	the	Eng
11192	80s	Num
11193	que	Spn
11194	hicieron	Spn
11195	relaunch	Eng
11196	a	Eng
11197	few	Eng
11198	years	Eng
11199	ago	Eng
11200	,	Punct
11201	fijate	Spn
11202	que	Spn
11203	primero	Spn
11204	lo	Spn
11205	había	Spn
11206	comprado	Spn
11207	en	Spn
11208	el	Spn
11209	Macy’s	NamedEnt
11210	de	Spn
11211	Union	NamedEnt
11212	Square	NamedEnt
11213	,	Punct
11214	en	Spn
11215	San	NamedEnt
11216	Francisco	NamedEnt
11217	,	Punct
11218	me	Spn
11219	acuerdo	Spn
11220	(	Punct
11221	la	Spn
11222	misma	Spn
11223	época	Spn
11224	del	Spn
11225	bewitching	Eng
11226	,	Punct
11227	emblemático	Spn
11228	“	Punct
11229	7e	NamedEnt
11230	Sens	NamedEnt
11231	"	Punct
11232	de	Spn
